"noFile_textError","spineが設置されたいないか、
経路の設定が間違っています。

このウィンドウを閉じて、
「spine path seting」から設定してください。","spine이 설치되어 있지 않거나,
경로의 설정이 잘못되어 있습니다.

이 윈도우를 닫고,
「spine path seting」로부터 설정해주세요."
"optionSetting_textHead","----------------------------------------------------------------------
オプションを修正します。
----------------------------------------------------------------------

------------------------------------------------------------
spineの設置のフォルダーをお入力してください。：","----------------------------------------------------------------------
옵션을 수정합니다.
----------------------------------------------------------------------

------------------------------------------------------------
spine이 설치된 폴더를 입력해주세요.："
"optionSetting_textDefault","------------------------------------------------------------
オプションをデフォルトに戻します。","------------------------------------------------------------
옵션을 디폴트로 되돌립니다."
"text_noFile","ファイルがありません。","파일이 없습니다."
"spineLauncher_textLabel","------------------------------------------------------------
実行するspineのバージョンのボタンをクリックしてください。

spineが設置されている経路を修正したい場合には
'Spine path setting'のボタンをクリックしてください。
------------------------------------------------------------","------------------------------------------------------------
실행할 spine의 버전의 버튼을 클릭해주세요.

spine이 설치되어있는 경로를 수정하고 싶은 경우에는
'Spine path setting' 버튼을 클릭해주세요.
------------------------------------------------------------"
"multiLanguage_textLabel","------------------------------------------------------------
このツールの言語を選択してください。

選択したあとは再起動すると適用されます。
------------------------------------------------------------","------------------------------------------------------------
이 툴의 언어를 선택해주세요.

선택한 후에는 툴을 재기동해주세요.
------------------------------------------------------------"